origin	dest	capacity	length	fft	alpha	beta	speedLimit
1	5	700	4	7	0.15	4	80
1	12	500	4	9	0.15	4	80
2	8	500	4	5	0.15	4	80
2	11	500	5	9	0.15	4	80
3	11	500	4	8	0.15	4	80
3	13	900	4	7	0.15	4	80
4	5	500	4	9	0.15	4	80
4	9	700	7	12	0.15	4	80
5	1	500	4	9	0.15	4	80
5	4	500	4	9	0.15	4	80
5	6	600	2	3	0.15	4	80
5	9	800	2	3	0.15	4	80
6	5	600	2	3	0.15	4	80
6	7	700	4	5	0.15	4	80
6	10	600	6	5	0.15	4	80
6	12	500	6	8	0.15	4	80
7	6	700	4	5	0.15	4	80
7	8	200	4	5	0.15	4	80
7	11	300	5	9	0.15	4	80
8	2	500	5	9	0.15	4	80
8	7	200	4	5	0.15	4	80
8	12	500	9	14	0.15	4	80
9	4	400	4	9	0.15	4	80
9	5	800	2	3	0.15	4	80
9	10	800	5	4	0.15	4	80
9	13	600	7	6	0.15	4	80
10	6	800	3	2	0.15	4	80
10	9	800	4	3	0.15	4	80
10	11	500	4	6	0.15	4	80
11	2	500	5	9	0.15	4	80
11	3	500	4	8	0.15	4	80
11	7	800	3	3	0.15	4	80
11	10	500	4	6	0.15	4	80
12	1	500	4	9	0.15	4	80
12	6	1000	4	6	0.15	4	80
12	8	500	9	14	0.15	4	80
13	3	500	6	11	0.15	4	80
13	9	400	5	9	0.15	4	80
1	14	5000	1	1	0.154	80
14	1	5000	1	1	0.15	4	80
2	15	5000	1	1	0.15	4	80
15	2	5000	1	1	0.15	4	80
3	16	5000	1	1	0.15	4	80
16	3	5000	1	1	0.15	4	80
4	17	700	7	12	0.15	4	80
17	4	5000	1	1	0.15	4	80
8	18	5000	1	1	0.15	4	80
18	8	5000	1	1	0.15	4	80
12	19	5000	1	1	0.15	4	80
19	12	5000	1	1	0.15	4	80
